	specification	property	expected_type	marginality
318	LabProtocol	reagentUsed	['BioChemEntity', 'MolecularEntity', 'ChemicalSubstance', 'DefinedTerm', 'Text', 'URL']	Minimum
333	MolecularEntity	identifier	['PropertyValue', 'Text', 'URL']	Minimum
345	MolecularEntity	name	['Text']	Minimum
350	MolecularEntity	url	['URL']	Minimum
357	Organization	description	['Text']	Minimum
363	Organization	legalName	['Text']	Minimum
369	Organization	name	['Text']	Minimum
372	Organization	sameAs	['URL']	Minimum
376	Organization	topic	['Text', 'URL']	Minimum
377	Organization	type	['Text', 'URL']	Minimum
381	Person	description	['Text']	Minimum
393	Person	mainEntityOfPage	['CreativeWork', 'URL']	Minimum
395	Person	name	['Text']	Minimum
406	Phenotype	identifier	['PropertyValue', 'Text', 'URL']	Minimum
411	Phenotype	name	['Text']	Minimum
424	Protein	identifier	['PropertyValue', 'Text', 'URL']	Minimum
431	Protein	name	['Text']	Minimum
436	ProteinAnnotation	additionalType	['URL']	Minimum
442	ProteinAnnotation	identifier	['PropertyValue', 'Text', 'URL']	Minimum
448	ProteinAnnotation	rdf:type	['URL']	Minimum
460	ProteinStructure	identifier	['PropertyValue', 'Text', 'URL']	Minimum
475	PublicationIssue	issueNumber	['Integer', 'Text']	Minimum
493	PublicationVolume	url	['URL']	Minimum
494	PublicationVolume	volumeNumber	['Integer', 'Text']	Minimum
533	ScholarlyArticle	identifier	['PropertyValue', 'Text', 'URL']	Minimum
540	ScholarlyArticle	name	['Text']	Minimum
555	SemanticTextAnnotation	mainEntity	['DefinedTerm']	Minimum
558	SemanticTextAnnotation	text	['Text']	Minimum
561	Study	author	['Organization', 'Person']	Minimum
565	Study	datePublished	['Date']	Minimum
566	Study	description	['Text']	Minimum
568	Study	identifier	['PropertyValue', 'Text', 'URL']	Minimum
571	Study	name	['Text']	Minimum
575	Study	studyDomain	['PropertyValue', 'Text', 'URL']	Minimum
578	Study	studySubject	['BioChemEntity', 'MedicalEntity']	Minimum
591	Taxon	name	['Text']	Minimum
595	Taxon	taxonRank	['PropertyValue', 'Text', 'URL']	Minimum
602	TaxonName	name	['Text']	Minimum
613	Tool	description	['Text']	Minimum
627	Tool	name	['Text']	Minimum
637	Tool	url	['URL']	Minimum
649	TrainingMaterial	description	['Text']	Minimum
655	TrainingMaterial	keywords	['DefinedTerm', 'Text', 'URL']	Minimum
659	TrainingMaterial	name	['Text']	Minimum
