	specification	property	expected_type	marginality	expected_types_raw
357	Organization	description	['Text']	Minimum	['Text']
363	Organization	legalName	['Text']	Minimum	['Text']
369	Organization	name	['Text']	Minimum	['Text']
372	Organization	sameAs	['URL']	Minimum	['URL']
376	Organization	topic	['Text', 'URL']	Minimum	['Text', 'URL']
377	Organization	type	['Text', 'URL']	Minimum	['Text', 'URL']
381	Person	description	['Text']	Minimum	['Text']
393	Person	mainEntityOfPage	['CreativeWork', 'URL']	Minimum	['CreativeWork', 'URL']
395	Person	name	['Text']	Minimum	['Text']
406	Phenotype	identifier	['PropertyValue', 'Text', 'URL']	Minimum	['PropertyValue', 'Text', 'URL']
411	Phenotype	name	['Text']	Minimum	['Text']
424	Protein	identifier	['PropertyValue', 'Text', 'URL']	Minimum	['PropertyValue', 'Text', 'URL']
431	Protein	name	['Text']	Minimum	['Text']
436	ProteinAnnotation	additionalType	['URL']	Minimum	['URL']
442	ProteinAnnotation	identifier	['PropertyValue', 'Text', 'URL']	Minimum	['PropertyValue', 'Text', 'URL']
448	ProteinAnnotation	rdf:type	['URL']	Minimum	['URL']
460	ProteinStructure	identifier	['PropertyValue', 'Text', 'URL']	Minimum	['PropertyValue', 'Text', 'URL']
475	PublicationIssue	issueNumber	['Integer', 'Text']	Minimum	['Integer', 'Text']
493	PublicationVolume	url	['URL']	Minimum	['URL']
494	PublicationVolume	volumeNumber	['Integer', 'Text']	Minimum	['Integer', 'Text']
533	ScholarlyArticle	identifier	['PropertyValue', 'Text', 'URL']	Minimum	['PropertyValue', 'Text', 'URL']
540	ScholarlyArticle	name	['Text']	Minimum	['Text']
555	SemanticTextAnnotation	mainEntity	['DefinedTerm']	Minimum	['DefinedTerm']
558	SemanticTextAnnotation	text	['Text']	Minimum	['Text']
561	Study	author	['Organization', 'Person']	Minimum	['Organization', 'Person']
565	Study	datePublished	['Date']	Minimum	['Date']
566	Study	description	['Text']	Minimum	['Text']
568	Study	identifier	['PropertyValue', 'Text', 'URL']	Minimum	['PropertyValue', 'Text', 'URL']
571	Study	name	['Text']	Minimum	['Text']
575	Study	studyDomain	['PropertyValue', 'Text', 'URL']	Minimum	['PropertyValue', 'Text', 'URL']
578	Study	studySubject	['BioChemEntity', 'MedicalEntity']	Minimum	['BioChemEntity', 'MedicalEntity']
591	Taxon	name	['Text']	Minimum	['Text']
595	Taxon	taxonRank	['PropertyValue', 'Text', 'URL']	Minimum	['PropertyValue', 'Text', 'URL']
602	TaxonName	name	['Text']	Minimum	['Text']
613	Tool	description	['Text']	Minimum	['Text']
627	Tool	name	['Text']	Minimum	['Text']
637	Tool	url	['URL']	Minimum	['URL']
649	TrainingMaterial	description	['Text']	Minimum	['Text']
655	TrainingMaterial	keywords	['DefinedTerm', 'Text', 'URL']	Minimum	['DefinedTerm', 'Text', 'URL']
659	TrainingMaterial	name	['Text']	Minimum	['Text']
